Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32764071_1	(1.0, 64.01046612810313)	(2.0, 17.456853665034345)	(3.0, 5.329108386841098)	(4.0, 2.6831373669352963)	(5.0, 1.7281380419207282)	(6.0, 1.3421141772089338)	(7.0, 1.1219699779075558)	(8.0, 0.8046657131598149)	(9.0, 0.6502597018866785)	('>10', 4.655846627711557)	('>50', 0.2003983564765382)	('>100', 0.01704185681432398)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR32764071_2	(1.0, 64.48886983835139)	(2.0, 17.379835617486513)	(3.0, 5.292625618230766)	(4.0, 2.627227130014771)	(5.0, 1.6900964293071923)	(6.0, 1.239452211151206)	(7.0, 1.0614695761346866)	(8.0, 0.8178913418627978)	(9.0, 0.6300202674821624)	('>10', 4.564664320280816)	('>50', 0.18604066703746783)	('>100', 0.021806982660204467)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR32764072_1	(1.0, 56.969102181441)	(2.0, 19.908358413026793)	(3.0, 7.407062207985972)	(4.0, 3.753267248528254)	(5.0, 2.4238410649766218)	(6.0, 1.8450265680655185)	(7.0, 1.3755399886826751)	(8.0, 1.0303831103442387)	(9.0, 0.7718860219201814)	('>10', 4.388115231948742)	('>50', 0.11417288831004511)	('>100', 0.013245074769930044)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR32764072_2	(1.0, 57.9305985261181)	(2.0, 19.597671388194954)	(3.0, 7.179068494554855)	(4.0, 3.6138591877260526)	(5.0, 2.47376523545818)	(6.0, 1.7674047260414185)	(7.0, 1.285859482406089)	(8.0, 0.9659870377418205)	(9.0, 0.7196579142586327)	('>10', 4.285895802987408)	('>50', 0.10639383072579192)	('>100', 0.00778299421904226)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06605537956759681)
SRR7135493_1	(1.0, 56.255581284550615)	(2.0, 19.228588525793132)	(3.0, 6.485928999853112)	(4.0, 2.915756526479425)	(5.0, 1.9403194929063974)	(6.0, 1.4706089848574813)	(7.0, 1.3203485658580263)	(8.0, 0.9939513262728276)	(9.0, 0.8214455387647748)	('>10', 6.526104577555296)	('>50', 1.2316337064048957)	('>100', 0.740667040234345)	('>500', 0.06906543046969812)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR7135493_2	(1.0, 55.57240965862462)	(2.0, 19.57827528853379)	(3.0, 6.9480440818566676)	(4.0, 3.03786914739917)	(5.0, 1.9745640319880717)	(6.0, 1.485849152598041)	(7.0, 1.1631485792422118)	(8.0, 0.9037655594411517)	(9.0, 0.7904448670483251)	('>10', 6.674032760297628)	('>50', 1.1373947675334628)	('>100', 0.6554379024186857)	('>500', 0.07560850246256517)	('>1k', 0.00315570055559888)	('>5k', 0.0)	('>10k+', 0.0)
SRR7135521_1	(1.0, 74.65202658405225)	(2.0, 5.730113861328747)	(3.0, 2.269954204142897)	(4.0, 1.5863144220462075)	(5.0, 1.217653402278928)	(6.0, 1.0261503526649183)	(7.0, 0.9153103182977355)	(8.0, 0.7961243870707003)	(9.0, 0.6816278175627358)	('>10', 8.825456442538384)	('>50', 1.7830891015119137)	('>100', 0.49086780011481396)	('>500', 0.02531130638979527)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR7135521_2	(1.0, 75.48202929638343)	(2.0, 5.687255317999218)	(3.0, 2.1311129140472707)	(4.0, 1.4989726770008793)	(5.0, 1.241068075368465)	(6.0, 1.0064689821526431)	(7.0, 0.8594594248997544)	(8.0, 0.775303585582727)	(9.0, 0.6858805933190569)	('>10', 8.479842252246696)	('>50', 1.7187459064980475)	('>100', 0.4090042398418999)	('>500', 0.024856734660003616)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
