Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
SRR32764071_1	(1, 36.43809864905121)	(2, 36.35451351008449)	(3, 36.41455502450576)	(4, 36.4330959186766)	(5, 36.4628706836516)	(6, 36.46088970042242)	(7, 36.46465288447274)	(8, 36.45066461653251)	(9, 36.45342195682548)	(10, 36.447821940598345)	(15, 36.40835680766112)	(20, 36.37883146330182)	(25, 36.34167586535773)	(30, 36.305537669027686)	(35, 36.28902927128628)	(40, 36.260261813692594)	(45, 36.23798721476733)	(50, 36.208707855394245)	(55, 36.19214699307829)	(60, 36.17409535403864)	(65, 36.12783627153377)	(70, 36.1137437498659)	(75, 36.11333770636296)	(80, 36.075601980752154)	(85, 36.02910907560005)	(90, 35.97497742514738)	(95, 35.93869431606985)	(100, 35.938058519270136)	(105, 35.864913880395065)	(110, 35.8324553177725)	(115, 35.74996302542165)	(120, 35.74934656990674)	(125, 35.681996387723146)	(130, 35.63591147659478)	(135, 35.57805473264845)	(140, 35.49310909799179)	(145, 35.454150220032844)	(150, 36.16540182746834)								
SRR32764071_2	(1, 36.04510197044355)	(2, 36.03740859807494)	(3, 36.16620126340976)	(4, 36.20073213016549)	(5, 36.2256068968507)	(6, 36.194027777833014)	(7, 36.2327578931292)	(8, 36.23793792882094)	(9, 36.18450388118873)	(10, 36.224134634314744)	(15, 36.23241257332537)	(20, 36.22041605897768)	(25, 36.15879122159704)	(30, 36.105524297549984)	(35, 36.06873579081632)	(40, 36.046787675490705)	(45, 35.99219913876865)	(50, 35.949309433520945)	(55, 35.87202700779936)	(60, 35.86773509428031)	(65, 35.837377453689854)	(70, 35.78518856392712)	(75, 35.764707555486666)	(80, 35.641398844128375)	(85, 35.59922221166056)	(90, 35.61008797320307)	(95, 35.56580479141562)	(100, 35.50398842568985)	(105, 35.4165011088167)	(110, 35.34818697578384)	(115, 35.32641568615735)	(120, 35.18661378641433)	(125, 35.14554476109314)	(130, 34.98907670125131)	(135, 34.90984766602505)	(140, 34.77153824381755)	(145, 34.7747527751988)	(150, 35.8584705510622)								
SRR32764072_1	(1, 36.568332497262276)	(2, 36.56468075200493)	(3, 36.56454829211995)	(4, 36.55490716332566)	(5, 36.551135909087925)	(6, 36.537982134309075)	(7, 36.555019377176244)	(8, 36.546319197175066)	(9, 36.5299190486495)	(10, 36.52983229398225)	(15, 36.5298579171011)	(20, 36.51293211758765)	(25, 36.44812041390435)	(30, 36.41792603558056)	(35, 36.38175524101797)	(40, 36.32571559485636)	(45, 36.301569032921336)	(50, 36.34361183780858)	(55, 36.31463672839182)	(60, 36.26040840040433)	(65, 36.237108401929206)	(70, 36.22701272433215)	(75, 36.18486494659103)	(80, 36.189784314858386)	(85, 36.14074250698386)	(90, 36.10695361042189)	(95, 36.111513080333886)	(100, 36.012571439712175)	(105, 35.98669206724877)	(110, 35.96694425581171)	(115, 35.93536162413811)	(120, 35.77091394889892)	(125, 35.70997518091885)	(130, 35.63777881486075)	(135, 35.623788250065935)	(140, 35.45754291690044)	(145, 35.883588846622885)									
SRR32764072_2	(1, 36.23123545072427)	(2, 36.237077784116615)	(3, 36.234339323536545)	(4, 36.24406561682372)	(5, 36.237771805061016)	(6, 36.23966976832635)	(7, 36.25614676161811)	(8, 36.23916033875632)	(9, 36.23733241693388)	(10, 36.20281164958459)	(15, 36.196565518462414)	(20, 36.12791860930236)	(25, 36.092723214578456)	(30, 36.05732817100439)	(35, 36.004223093266184)	(40, 35.97130320526692)	(45, 35.882694518303666)	(50, 35.8478009903865)	(55, 35.79715123179486)	(60, 35.75557713889511)	(65, 35.69749498826896)	(70, 35.66311117117111)	(75, 35.631149277790044)	(80, 35.57653891766207)	(85, 35.488822516594524)	(90, 35.48656587365605)	(95, 35.457299865988645)	(100, 35.3797169063465)	(105, 35.369128427773)	(110, 35.28036972513877)	(115, 35.18175384784868)	(120, 35.04909867815786)	(125, 35.06993778822785)	(130, 35.08633964340693)	(135, 34.99971729770236)	(140, 34.84086640175713)	(145, 35.43044265934306)									
SRR7135493_1	(1, 33.42456795308634)	(2, 36.18317722543932)	(3, 36.75917497231183)	(4, 36.93917808768442)	(5, 36.995917525368895)	(6, 37.010847110957954)	(7, 38.308805284509006)	(8, 38.06625451363015)	(9, 38.19526112084915)	(10, 38.19707030994968)	(12, 38.235383842172396)	(14, 38.15125411992197)	(16, 38.05577043414691)	(18, 37.896266721001766)	(20, 37.66475118808202)	(22, 37.58226674175333)	(24, 37.469484340768304)	(26, 37.349634746085485)	(28, 37.21456939646317)	(30, 37.12789546425756)	(32, 36.987480959230524)	(34, 36.827603212324604)	(36, 36.68696546310963)	(38, 36.625460211007365)	(40, 36.48488790396141)	(42, 36.35802966620801)	(44, 36.16405797811264)	(46, 35.92899010269079)	(48, 35.67194990361294)	(50, 35.35857948374591)	(52, 35.06986643994117)	(54, 34.7463788080275)	(56, 34.38187348861454)	(58, 33.998551754028185)	(60, 33.57580838884633)	(62, 33.13751689197136)	(64, 32.6627069611343)	(66, 32.16524240003626)	(68, 31.503457751419383)	(70, 31.444307746932736)	(72, 31.289681519760173)	(74, 30.881303710885334)	(76, 30.411259847265846)	(78, 29.881624711648875)	(80, 29.347911212145046)	(82, 28.763556102404223)
SRR7135493_2	(1, 30.133813342227196)	(2, 34.1497541708996)	(3, 35.58399666163602)	(4, 36.12298766429403)	(5, 36.29278606592236)	(6, 36.28846582760295)	(7, 37.52065182950321)	(8, 37.52060131351248)	(9, 37.49349313151792)	(10, 37.43463640774942)	(12, 37.43199248476816)	(14, 37.32222084122709)	(16, 37.227473583192435)	(18, 37.13325312692444)	(20, 37.09464773186059)	(22, 36.97542197009462)	(24, 36.85245700282428)	(26, 36.70941994189298)	(28, 36.55531582320424)	(30, 36.37170771702762)	(32, 36.20009414703442)	(34, 36.10339060340142)	(36, 35.90256532643068)	(38, 35.76485424026346)	(40, 35.558578885819486)	(42, 35.34994543701454)	(44, 34.82026890818149)	(46, 35.189060788586715)	(48, 35.11180864920812)	(50, 34.89447827247446)	(52, 34.6608893197281)	(54, 34.43753480118704)	(56, 34.13811192769592)	(58, 33.78749075687067)	(60, 33.371741042633346)	(62, 32.92475856412011)	(64, 32.468869147009144)	(66, 31.974254980364492)	(68, 31.44830622608926)	(70, 30.933921731781368)	(72, 30.405058602725937)	(74, 29.862841710011573)	(76, 29.283609280046893)	(78, 28.677070758834155)	(80, 28.027741181651237)	(82, 27.324050309266458)
SRR7135521_1	(1, 32.63224469955676)	(2, 32.89475795565099)	(3, 32.95347585042997)	(4, 36.364638835901836)	(5, 36.327720349282075)	(6, 36.343913687483266)	(7, 36.33521419063051)	(8, 36.338094428318556)	(9, 38.13180792201127)	(10, 38.409172902296994)	(15, 39.599483184127486)	(20, 39.54603823437573)	(25, 39.40025435465408)	(30, 39.223666392482286)	(35, 39.00859391556996)	(40, 38.988444501175465)	(45, 38.85647286911215)	(50, 38.5733373250325)	(55, 38.28581794352753)	(60, 37.98320254920098)	(65, 37.32041642435849)	(70, 36.5195705312389)	(75, 35.23287843358558)	(80, 34.950665834176256)	(85, 34.312876597292004)	(90, 33.86128066081936)	(95, 33.59783601758307)	(100, 33.39950161424482)	(105, 33.22265206421373)	(110, 33.04238330753145)	(115, 32.88216976002358)	(120, 32.6541725418964)	(125, 32.415051673049604)	(130, 32.16131559238593)	(135, 31.830279132020973)	(140, 31.45027949312139)	(145, 30.881089941016064)	(150, 30.44024604094683)								
SRR7135521_2	(1, 32.22040376904857)	(2, 32.40233209285543)	(3, 32.45816303179909)	(4, 35.91416564739776)	(5, 35.93442617994809)	(6, 35.95945984416418)	(7, 35.96501519211032)	(8, 35.968540875797274)	(9, 37.69554075976927)	(10, 37.974687493483046)	(15, 39.11937957909968)	(20, 39.05987533637973)	(25, 38.90875300969498)	(30, 38.75401733869834)	(35, 38.520766753344766)	(40, 38.313645298899466)	(45, 38.027505472140895)	(50, 37.20714639556704)	(55, 38.04899734591194)	(60, 37.609081513100314)	(65, 36.949865327739914)	(70, 36.16342275607233)	(75, 35.27161770606902)	(80, 34.39055251582719)	(85, 33.68680186098278)	(90, 33.17904883071347)	(95, 32.829541193929536)	(100, 32.58312970209076)	(105, 32.350804681484945)	(110, 32.11590760700014)	(115, 31.84230067991849)	(120, 31.572359168388537)	(125, 31.267800925060886)	(130, 30.932846441208444)	(135, 30.52430375151141)	(140, 29.992160134878002)	(145, 29.265234766356134)	(150, 28.71905094413063)								
