Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR32764071_1	(0.0, 0.00018497450884004)	(1.0, 0.00045062938855711874)	(2.0, 0.000979971334067446)	(3.0, 0.0015427661162828869)	(4.0, 0.002412539870615841)	(5.0, 0.0036876832932578184)	(6.0, 0.005202900014607083)	(7.0, 0.007278943704247957)	(8.0, 0.009831198363455744)	(9.0, 0.014101354578167306)	(10.0, 0.02132716730647185)	(11.0, 0.03067625125858919)	(12.0, 0.04265827024079135)	(13.0, 0.05845981604914797)	(14.0, 0.08111722556812903)	(15.0, 0.11311781559745594)	(16.0, 0.15120878972103738)	(17.0, 0.19797388762086238)	(18.0, 0.2627031588313334)	(19.0, 0.3451644013094385)	(20.0, 0.4452907093817674)	(21.0, 0.5680212959971339)	(22.0, 0.7191257915802083)	(23.0, 0.9115287979827074)	(24.0, 1.1410034508962437)	(25.0, 1.395085616927277)	(26.0, 1.6812667636838288)	(27.0, 2.0011742732809066)	(28.0, 2.3376586473723298)	(29.0, 2.6884647712013896)	(30.0, 3.0565246875145924)	(31.0, 3.406350840009585)	(32.0, 3.7225372134766994)	(33.0, 4.019354394491553)	(34.0, 4.285949889264224)	(35.0, 4.482048450215675)	(36.0, 4.605833785094215)	(37.0, 4.664317214910449)	(38.0, 4.654755607054558)	(39.0, 4.599090086777249)	(40.0, 4.47555663208096)	(41.0, 4.2990732403222465)	(42.0, 4.0858428913499285)	(43.0, 3.833722635800954)	(44.0, 3.548911087535388)	(45.0, 3.2313767615304503)	(46.0, 2.9063883563820427)	(47.0, 2.5820827826652044)	(48.0, 2.2498016591150822)	(49.0, 1.9367814982514104)	(50.0, 1.6645383775173481)	(51.0, 1.4169460618071068)	(52.0, 1.1951419475686607)	(53.0, 1.0024418012636631)	(54.0, 0.846907756538047)	(55.0, 0.7217036278204259)	(56.0, 0.6064605731852333)	(57.0, 0.5017453230425324)	(58.0, 0.4111983331514089)	(59.0, 0.3313050878439023)	(60.0, 0.26850033865093725)	(61.0, 0.21993272319688373)	(62.0, 0.17637909762074966)	(63.0, 0.13872301037433468)	(64.0, 0.1097075940674582)	(65.0, 0.0865857804624532)	(66.0, 0.06961732099726527)	(67.0, 0.05826106684284112)	(68.0, 0.05147210880562687)	(69.0, 0.04529710871264767)	(70.0, 0.03577879276308093)	(71.0, 0.03179396956732475)	(72.0, 0.028328649247459745)	(73.0, 0.02388335759352729)	(74.0, 0.018908723994084515)	(75.0, 0.012340161116339267)	(76.0, 0.009978784407743009)	(77.0, 0.00961473883183442)	(78.0, 0.008095586482637496)	(79.0, 0.006115965675264302)	(80.0, 0.0039730163122132)	(81.0, 0.001804485368152305)	(82.0, 0.0007359624075124996)	(83.0, 0.0003738846455277404)	(84.0, 0.00013381134682045447)	(85.0, 8.461599872469915e-05)	(86.0, 7.280911518171788e-05)	(87.0, 4.919534809575532e-05)	(88.0, 2.5581581009792765e-05)	(89.0, 1.5742511390641702e-05)	(90.0, 1.377469746681149e-05)	(91.0, 9.839069619151064e-06)	(92.0, 3.935627847660426e-06)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR32764071_2	(0.0, 0.0009468820950469639)	(1.0, 0.0009704559231394193)	(2.0, 0.0011845848616458905)	(3.0, 0.00182107822014219)	(4.0, 0.002783676200584124)	(5.0, 0.004038982546507381)	(6.0, 0.0056321804284225)	(7.0, 0.00827244917477752)	(8.0, 0.011600287907162493)	(9.0, 0.015992877875056707)	(10.0, 0.023577757063804276)	(11.0, 0.03395024142448471)	(12.0, 0.047116224414121124)	(13.0, 0.06348824802433149)	(14.0, 0.08643147621531384)	(15.0, 0.11855474596263324)	(16.0, 0.15715296049268043)	(17.0, 0.2071805526762198)	(18.0, 0.2737019665817806)	(19.0, 0.3568409648068481)	(20.0, 0.45790000135353065)	(21.0, 0.5827941425873601)	(22.0, 0.7365996194909118)	(23.0, 0.9211296523416306)	(24.0, 1.1470631852653987)	(25.0, 1.4064361933383152)	(26.0, 1.6931175167706667)	(27.0, 2.013731401256434)	(28.0, 2.3515443578213215)	(29.0, 2.698148387779021)	(30.0, 3.055865513196639)	(31.0, 3.404190432605087)	(32.0, 3.7275526325493)	(33.0, 4.027773191249419)	(34.0, 4.288847443916341)	(35.0, 4.47526534750013)	(36.0, 4.591723987248209)	(37.0, 4.650018135149503)	(38.0, 4.643977341700811)	(39.0, 4.583457431530455)	(40.0, 4.459166387398658)	(41.0, 4.285164033276894)	(42.0, 4.0723080814874155)	(43.0, 3.821802761748611)	(44.0, 3.539643684338663)	(45.0, 3.222611057237274)	(46.0, 2.8943062113363434)	(47.0, 2.5752953471608633)	(48.0, 2.248086684266232)	(49.0, 1.9328378101571726)	(50.0, 1.657568184007244)	(51.0, 1.4091668284256913)	(52.0, 1.1885924124216078)	(53.0, 0.9981551711480546)	(54.0, 0.8442416475324125)	(55.0, 0.7190744427898454)	(56.0, 0.6057137969502498)	(57.0, 0.5018828711170296)	(58.0, 0.40979564064520074)	(59.0, 0.33073884365147677)	(60.0, 0.2686787767124132)	(61.0, 0.21909908726263044)	(62.0, 0.1755032211769827)	(63.0, 0.13708573932897766)	(64.0, 0.10795241677805138)	(65.0, 0.08559067634668292)	(66.0, 0.06883754251564453)	(67.0, 0.05793464702288384)	(68.0, 0.05089982382296024)	(69.0, 0.044051626762101906)	(70.0, 0.03540788979486821)	(71.0, 0.031734301583793895)	(72.0, 0.027923199375513574)	(73.0, 0.02293340576261049)	(74.0, 0.018236320515188725)	(75.0, 0.0125510989735582)	(76.0, 0.009838144257251442)	(77.0, 0.009368632181076702)	(78.0, 0.008030817436829853)	(79.0, 0.005946498136321908)	(80.0, 0.003858249864465222)	(81.0, 0.00177589504963165)	(82.0, 0.0006659606436118688)	(83.0, 0.00030056630817880804)	(84.0, 7.465045562610919e-05)	(85.0, 2.553831376682683e-05)	(86.0, 1.768037106934165e-05)	(87.0, 2.3573828092455535e-05)	(88.0, 1.768037106934165e-05)	(89.0, 9.822428371856472e-06)	(90.0, 5.893457023113884e-06)	(91.0, 5.893457023113884e-06)	(92.0, 5.893457023113884e-06)	(93.0, 3.9289713487425885e-06)	(94.0, 3.9289713487425885e-06)	(95.0, 5.893457023113884e-06)	(96.0, 7.857942697485177e-06)	(97.0, 1.768037106934165e-05)	(98.0, 4.911214185928236e-05)	(99.0, 0.0003477139643637191)	(100.0, 0.0006463157868681559)
SRR32764072_1	(0.0, 0.0010521232629429696)	(1.0, 0.0013913213033126142)	(2.0, 0.002203771699407571)	(3.0, 0.003028408851443953)	(4.0, 0.0040663142324552605)	(5.0, 0.005607938859045442)	(6.0, 0.007421734368327434)	(7.0, 0.010620757802951327)	(8.0, 0.014193508419778903)	(9.0, 0.018493402141111462)	(10.0, 0.025864358359682964)	(11.0, 0.03639980887104432)	(12.0, 0.048858735695160485)	(13.0, 0.06343003354912355)	(14.0, 0.0843668802564906)	(15.0, 0.11189066855019751)	(16.0, 0.14727288330013288)	(17.0, 0.19175860473831227)	(18.0, 0.2477851840530205)	(19.0, 0.3185191466630377)	(20.0, 0.4046246707671715)	(21.0, 0.512536363502494)	(22.0, 0.6454999642014044)	(23.0, 0.8083617394766093)	(24.0, 1.0097966284324125)	(25.0, 1.2389259202651026)	(26.0, 1.498156499273111)	(27.0, 1.7932466076387603)	(28.0, 2.1079959844639173)	(29.0, 2.4347432225134065)	(30.0, 2.783237726540368)	(31.0, 3.1283829038094275)	(32.0, 3.453543832460541)	(33.0, 3.7619032869204116)	(34.0, 4.0458973540013945)	(35.0, 4.271104541546936)	(36.0, 4.4216617555732824)	(37.0, 4.522789487501212)	(38.0, 4.570074100553939)	(39.0, 4.553630104536977)	(40.0, 4.4791730879868545)	(41.0, 4.362159919689279)	(42.0, 4.196942038265398)	(43.0, 3.9942701935815403)	(44.0, 3.74999479523965)	(45.0, 3.4626879616685904)	(46.0, 3.1495411432497304)	(47.0, 2.830445156805465)	(48.0, 2.499905806532203)	(49.0, 2.180050178967589)	(50.0, 1.8901902200268008)	(51.0, 1.6172921942304852)	(52.0, 1.375653197423923)	(53.0, 1.1619239028492128)	(54.0, 0.9858191861176601)	(55.0, 0.8404413433664187)	(56.0, 0.7074188400137914)	(57.0, 0.5859107898998197)	(58.0, 0.481718088852622)	(59.0, 0.3924988486054543)	(60.0, 0.3190269281605971)	(61.0, 0.26024817312911713)	(62.0, 0.21098321223590918)	(63.0, 0.16859970619762552)	(64.0, 0.13459459486907108)	(65.0, 0.10795231525512719)	(66.0, 0.0880777474406543)	(67.0, 0.0749485490397598)	(68.0, 0.06418358129150162)	(69.0, 0.0544707368061864)	(70.0, 0.04556831159097591)	(71.0, 0.04060017741885525)	(72.0, 0.036058579704684436)	(73.0, 0.031183877328114694)	(74.0, 0.02722318164715178)	(75.0, 0.020626084430860725)	(76.0, 0.01488815350844009)	(77.0, 0.01334449775585967)	(78.0, 0.011134632678481388)	(79.0, 0.008083881441144823)	(80.0, 0.005532787197406658)	(81.0, 0.0032965174821552885)	(82.0, 0.0018462935251257902)	(83.0, 0.0011658663183962636)	(84.0, 0.0007190186005440371)	(85.0, 0.00044278546587175167)	(86.0, 0.0002559218747699115)	(87.0, 0.00015233444926780447)	(88.0, 0.0001117119294630566)	(89.0, 8.733841758020789e-05)	(90.0, 6.093377970712179e-05)	(91.0, 3.8591393814510465e-05)	(92.0, 3.656026782427307e-05)	(93.0, 3.452914183403568e-05)	(94.0, 2.6404637873086108e-05)	(95.0, 1.421788193166175e-05)	(96.0, 4.062251980474786e-06)	(97.0, 2.031125990237393e-06)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR32764072_2	(0.0, 0.0022838395773783107)	(1.0, 0.00225357668545192)	(2.0, 0.0026288365453391686)	(3.0, 0.0036981253934049857)	(4.0, 0.005116446261688512)	(5.0, 0.006910026989859288)	(6.0, 0.008929570644413784)	(7.0, 0.0118872639486864)	(8.0, 0.015454250143743693)	(9.0, 0.02090358821662251)	(10.0, 0.02918553297381152)	(11.0, 0.03955561727392152)	(12.0, 0.05200980606469565)	(13.0, 0.06799668310634381)	(14.0, 0.09022982104159911)	(15.0, 0.11910263746550459)	(16.0, 0.15383838481861623)	(17.0, 0.1977720337912223)	(18.0, 0.2540347849346401)	(19.0, 0.3246804798476074)	(20.0, 0.41084095068817106)	(21.0, 0.5155465217012273)	(22.0, 0.6459755508517159)	(23.0, 0.8094859559300066)	(24.0, 1.00597484310355)	(25.0, 1.2357004557167843)	(26.0, 1.494510724997409)	(27.0, 1.7806625083704637)	(28.0, 2.0912384630542444)	(29.0, 2.4167037605658095)	(30.0, 2.759368468322207)	(31.0, 3.100917484129585)	(32.0, 3.4245811308084657)	(33.0, 3.7339546399197037)	(34.0, 4.01549032351092)	(35.0, 4.234535152800267)	(36.0, 4.394270766492273)	(37.0, 4.503110248542474)	(38.0, 4.5513654384821685)	(39.0, 4.5435818226787)	(40.0, 4.470022820036286)	(41.0, 4.349122566790354)	(42.0, 4.192278068040383)	(43.0, 3.997235747100921)	(44.0, 3.7585523184774745)	(45.0, 3.4704072192895348)	(46.0, 3.1653915666156967)	(47.0, 2.8506433678983307)	(48.0, 2.51748120820682)	(49.0, 2.1966098176896813)	(50.0, 1.907187624462448)	(51.0, 1.6367967552046576)	(52.0, 1.3890546342645784)	(53.0, 1.1722028558768307)	(54.0, 0.9934924089469779)	(55.0, 0.8487671896504623)	(56.0, 0.716118881758705)	(57.0, 0.5939738148915339)	(58.0, 0.48828570865393417)	(59.0, 0.3959011697071761)	(60.0, 0.32206374845903873)	(61.0, 0.26369873508980096)	(62.0, 0.21475556874031299)	(63.0, 0.17235322209918227)	(64.0, 0.13806536554658122)	(65.0, 0.11118788246368913)	(66.0, 0.09018341794064531)	(67.0, 0.0762059969229095)	(68.0, 0.06621117248268675)	(69.0, 0.05706169149027453)	(70.0, 0.047413881544141064)	(71.0, 0.04111112991893802)	(72.0, 0.036083454806900256)	(73.0, 0.03120305910223759)	(74.0, 0.026970289284799696)	(75.0, 0.020477890203524605)	(76.0, 0.015113288228039689)	(77.0, 0.013739352934581534)	(78.0, 0.011798492799035654)	(79.0, 0.008501855105187457)	(80.0, 0.0057822298840691155)	(81.0, 0.0034358469967095966)	(82.0, 0.0016281435856398384)	(83.0, 0.000899816653278027)	(84.0, 0.000639555782711064)	(85.0, 0.0003893825427862314)	(86.0, 0.00019973508671418088)	(87.0, 0.0001129814631918599)	(88.0, 8.070104513704278e-05)	(89.0, 5.4473205467503876e-05)	(90.0, 2.4210313541112836e-05)	(91.0, 2.8245365797964976e-05)	(92.0, 2.4210313541112836e-05)	(93.0, 1.4122682898982488e-05)	(94.0, 1.8157735155834628e-05)	(95.0, 4.64031009537996e-05)	(96.0, 9.078867577917312e-05)	(97.0, 0.0003106990237776147)	(98.0, 0.0008130630297557061)	(99.0, 0.004476890478977449)	(100.0, 0.030918587918129518)
SRR7135493_1	(0.0, 5.112913770307535e-05)	(1.0, 8.217182845137109e-05)	(2.0, 0.0001725608397478793)	(3.0, 0.00036246906550215917)	(4.0, 0.0007057647043656651)	(5.0, 0.0011905784922287546)	(6.0, 0.0014626585464344055)	(7.0, 0.0019995144923166965)	(8.0, 0.0034548688762220912)	(9.0, 0.006189364723020496)	(10.0, 0.011136108795793036)	(11.0, 0.019453723875704043)	(12.0, 0.02464059229161781)	(13.0, 0.03267243201258128)	(14.0, 0.05224576154969787)	(15.0, 0.07982719227955865)	(16.0, 0.11938471049604868)	(17.0, 0.1731917367863226)	(18.0, 0.2034811857738141)	(19.0, 0.24440914748480982)	(20.0, 0.34443691425866385)	(21.0, 0.4788435480159393)	(22.0, 0.6503379800345831)	(23.0, 0.8625640743962554)	(24.0, 0.9786025654337008)	(25.0, 1.11689501365641)	(26.0, 1.4144282482350314)	(27.0, 1.75732489722039)	(28.0, 2.1331286244395744)	(29.0, 2.3252764890293123)	(30.0, 2.5239150150463923)	(31.0, 2.921387453428203)	(32.0, 3.298569841324738)	(33.0, 3.6278697917623433)	(34.0, 3.906105428939318)	(35.0, 4.033389591210492)	(36.0, 4.127280035419345)	(37.0, 4.284426353170063)	(38.0, 4.360288298216685)	(39.0, 4.3693682852605615)	(40.0, 4.312204996288208)	(41.0, 4.258567791776733)	(42.0, 4.177131857700159)	(43.0, 3.9848077801894095)	(44.0, 3.7045625852966406)	(45.0, 3.3573446111550562)	(46.0, 2.992790207250864)	(47.0, 2.806096726029665)	(48.0, 2.622756768429598)	(49.0, 2.2668614492035486)	(50.0, 1.932622971876016)	(51.0, 1.6449932686664175)	(52.0, 1.4151586644879324)	(53.0, 1.3112706478174962)	(54.0, 1.2143517152200523)	(55.0, 1.021253396481227)	(56.0, 0.8432582598117636)	(57.0, 0.6945811185134334)	(58.0, 0.5739501352858724)	(59.0, 0.5201805428285595)	(60.0, 0.4798761739934782)	(61.0, 0.4093261811460793)	(62.0, 0.35677912289205976)	(63.0, 0.3169467855604157)	(64.0, 0.2853517175208635)	(65.0, 0.2712875525712533)	(66.0, 0.261342022267689)	(67.0, 0.2385941210914011)	(68.0, 0.2146538153822522)	(69.0, 0.18959597280616466)	(70.0, 0.16216884250972924)	(71.0, 0.1486616199529561)	(72.0, 0.13511787658353788)	(73.0, 0.10684894155563397)	(74.0, 0.08036404822544094)	(75.0, 0.057806055274907314)	(76.0, 0.047007763996081024)	(77.0, 0.03833224495224849)	(78.0, 0.023562315298272598)	(79.0, 0.01367339225430815)	(80.0, 0.00743746349516521)	(81.0, 0.0036703416708279086)	(82.0, 0.002344636171812455)	(83.0, 0.001757564108543215)	(84.0, 0.0009020640723328293)	(85.0, 0.0004875528488114685)	(86.0, 0.0002684279729411456)	(87.0, 0.00015247439279309969)	(88.0, 0.00010956243793516146)	(89.0, 9.404109256101359e-05)	(90.0, 6.391142212884419e-05)	(91.0, 3.8346853277306513e-05)	(92.0, 2.830362979991671e-05)	(93.0, 1.9173426638653257e-05)	(94.0, 9.130203161263455e-06)	(95.0, 7.3041625290107635e-06)	(96.0, 6.391142212884418e-06)	(97.0, 6.391142212884418e-06)	(98.0, 2.7390609483790366e-06)	(99.0, 0.0)	(100.0, 0.0)
SRR7135493_2	(0.0, 0.0009002026323257926)	(1.0, 0.0009741543698697978)	(2.0, 0.0012672223668034486)	(3.0, 0.001783971545197362)	(4.0, 0.0024833176064159796)	(5.0, 0.003376216363428784)	(6.0, 0.0038674019782272387)	(7.0, 0.004608745322495539)	(8.0, 0.006398194774177642)	(9.0, 0.009297833273433947)	(10.0, 0.014160388263055827)	(11.0, 0.0220193580998311)	(12.0, 0.026867305338827002)	(13.0, 0.03474909978595537)	(14.0, 0.05408702266150568)	(15.0, 0.08119444290124718)	(16.0, 0.11854463528304046)	(17.0, 0.17051262111936547)	(18.0, 0.2007817063852167)	(19.0, 0.2420248643088327)	(20.0, 0.3394019559504193)	(21.0, 0.4702600120267437)	(22.0, 0.639988379534377)	(23.0, 0.8509398193085157)	(24.0, 0.9668870139333747)	(25.0, 1.101987708582131)	(26.0, 1.3973262977537069)	(27.0, 1.7393759085050844)	(28.0, 2.1115859593770328)	(29.0, 2.3019842940204223)	(30.0, 2.501531645477744)	(31.0, 2.8976719308282837)	(32.0, 3.271557308100148)	(33.0, 3.6044095138636454)	(34.0, 3.8924086213300826)	(35.0, 4.024847966411669)	(36.0, 4.11767383074885)	(37.0, 4.2718212062450505)	(38.0, 4.351425230296894)	(39.0, 4.361982069077405)	(40.0, 4.306020689413704)	(41.0, 4.257784983862316)	(42.0, 4.1796280401068575)	(43.0, 3.9943095507436506)	(44.0, 3.7128547155576515)	(45.0, 3.3657727347156254)	(46.0, 3.0055611250140886)	(47.0, 2.818138206576327)	(48.0, 2.6380593347657753)	(49.0, 2.2846494589494593)	(50.0, 1.9510102606209871)	(51.0, 1.6636328955405688)	(52.0, 1.4322223880303362)	(53.0, 1.3278810512778154)	(54.0, 1.2270711382391242)	(55.0, 1.0315308753753907)	(56.0, 0.8558927597551358)	(57.0, 0.7062345286231798)	(58.0, 0.58367367490241)	(59.0, 0.5298632865183837)	(60.0, 0.48843935768077124)	(61.0, 0.41597213279413087)	(62.0, 0.36297612650750277)	(63.0, 0.32369679805866647)	(64.0, 0.2908430539164315)	(65.0, 0.2753159279854328)	(66.0, 0.26396205381139265)	(67.0, 0.2400062557692056)	(68.0, 0.2163462646771945)	(69.0, 0.1908420450686539)	(70.0, 0.16302797489238083)	(71.0, 0.14966005710078423)	(72.0, 0.13521846963817835)	(73.0, 0.10700359930410502)	(74.0, 0.08111683922604668)	(75.0, 0.058100502145992695)	(76.0, 0.04719764227252959)	(77.0, 0.03865576009398992)	(78.0, 0.024027010826488726)	(79.0, 0.014348463052365272)	(80.0, 0.008109127566245123)	(81.0, 0.004300156590521789)	(82.0, 0.0031388404157566686)	(83.0, 0.002557269343959985)	(84.0, 0.0016105045065138927)	(85.0, 0.0010992332346047204)	(86.0, 0.0008509014739631226)	(87.0, 0.0006911292014915061)	(88.0, 0.0006336111834017243)	(89.0, 0.0005815710717966834)	(90.0, 0.00046197011354650214)	(91.0, 0.00038162748510363223)	(92.0, 0.0003396302020539502)	(93.0, 0.0003131536540443681)	(94.0, 0.0003158926072867386)	(95.0, 0.0002784602463076742)	(96.0, 0.0002145513373190277)	(97.0, 0.00017985792958233383)	(98.0, 0.0001588592880574928)	(99.0, 0.00013877363094677534)	(100.0, 0.00013146975563378715)
SRR7135521_1	(0.0, 0.00036109976376097664)	(1.0, 0.00029251880087614)	(2.0, 0.00026452657112722706)	(3.0, 0.00045207451044494365)	(4.0, 0.000901349797914996)	(5.0, 0.0012708472306006465)	(6.0, 0.0015815609808135797)	(7.0, 0.002337351184034229)	(8.0, 0.0033548687354072134)	(9.0, 0.005084788533890032)	(10.0, 0.007896608012168333)	(11.0, 0.01177773066685511)	(12.0, 0.016775743288523513)	(13.0, 0.023784997617651307)	(14.0, 0.033783822083963)	(15.0, 0.047840120252379624)	(16.0, 0.06713376460681784)	(17.0, 0.0931063549793467)	(18.0, 0.12793288762145671)	(19.0, 0.17366099413928085)	(20.0, 0.23554901489115243)	(21.0, 0.31740669234589847)	(22.0, 0.4255238805280997)	(23.0, 0.5691212199170481)	(24.0, 0.7533912691311669)	(25.0, 0.9774676686597275)	(26.0, 1.244325992525039)	(27.0, 1.556216815998914)	(28.0, 1.9090910630481728)	(29.0, 2.2983132204263947)	(30.0, 2.7051312934247833)	(31.0, 3.1193757049755586)	(32.0, 3.5228990925325006)	(33.0, 3.895920746943539)	(34.0, 4.233003177579948)	(35.0, 4.488422476758366)	(36.0, 4.646823506850028)	(37.0, 4.74152681853655)	(38.0, 4.775123092681195)	(39.0, 4.7405568877757505)	(40.0, 4.650581463693819)	(41.0, 4.530570377091305)	(42.0, 4.367980309817719)	(43.0, 4.160416526618042)	(44.0, 3.91501564646676)	(45.0, 3.6129822866989647)	(46.0, 3.268183797932267)	(47.0, 2.912927412131376)	(48.0, 2.5618334708941486)	(49.0, 2.232996151530281)	(50.0, 1.93703150717205)	(51.0, 1.668622413778649)	(52.0, 1.433703224056847)	(53.0, 1.2266628955534749)	(54.0, 1.0343072907763826)	(55.0, 0.8556776758566695)	(56.0, 0.696753191068704)	(57.0, 0.5755272416950868)	(58.0, 0.48275119502677727)	(59.0, 0.39428595173980036)	(60.0, 0.31946692045541847)	(61.0, 0.2601233933877231)	(62.0, 0.21209852441900065)	(63.0, 0.16971548935617156)	(64.0, 0.13342776232116832)	(65.0, 0.10471613226770835)	(66.0, 0.08636302683283358)	(67.0, 0.07606888434267087)	(68.0, 0.0682730483575986)	(69.0, 0.056288175190601544)	(70.0, 0.04133192683575737)	(71.0, 0.034855924483346366)	(72.0, 0.029899900206301334)	(73.0, 0.024253867465945596)	(74.0, 0.021950106957610065)	(75.0, 0.019446202006569806)	(76.0, 0.014504173844399228)	(77.0, 0.010884778537864789)	(78.0, 0.008986905360888493)	(79.0, 0.006909881913519154)	(80.0, 0.004315002215794926)	(81.0, 0.0019160681263130893)	(82.0, 0.000407286942846683)	(83.0, 5.5984459497825834e-05)	(84.0, 1.2596503387010812e-05)	(85.0, 1.5395726361902105e-05)	(86.0, 2.099417231168469e-05)	(87.0, 1.959456082423904e-05)	(88.0, 1.1196891899565168e-05)	(89.0, 5.598445949782584e-06)	(90.0, 5.598445949782584e-06)	(91.0, 6.998057437228229e-06)	(92.0, 1.1196891899565168e-05)	(93.0, 9.79728041211952e-06)	(94.0, 6.998057437228229e-06)	(95.0, 6.998057437228229e-06)	(96.0, 2.799222974891292e-06)	(97.0, 1.399611487445646e-06)	(98.0, 1.399611487445646e-06)	(99.0, 4.198834462336938e-06)	(100.0, 4.198834462336938e-06)
SRR7135521_2	(0.0, 0.0004478754879271033)	(1.0, 0.00032331011784737774)	(2.0, 0.0002519299619589956)	(3.0, 0.00040868638273348174)	(4.0, 0.0008103747109681026)	(5.0, 0.0011224879416173027)	(6.0, 0.0014038097324715147)	(7.0, 0.002183393003644629)	(8.0, 0.003191112851480611)	(9.0, 0.004748879782927068)	(10.0, 0.007378748663599027)	(11.0, 0.010944957236218588)	(12.0, 0.015889782545113765)	(13.0, 0.022903232763872246)	(14.0, 0.03255914836140064)	(15.0, 0.04611158070389483)	(16.0, 0.06483837454284684)	(17.0, 0.08945473104804025)	(18.0, 0.12361643388968006)	(19.0, 0.1690492033071854)	(20.0, 0.22963136110382498)	(21.0, 0.31069122597503157)	(22.0, 0.4170154671980261)	(23.0, 0.5581536299419544)	(24.0, 0.7396285788173174)	(25.0, 0.9637818628594339)	(26.0, 1.2301502108604796)	(27.0, 1.5419373321700327)	(28.0, 1.8961130691900867)	(29.0, 2.285577195826097)	(30.0, 2.695349676617802)	(31.0, 3.1153701084176393)	(32.0, 3.5239585183881372)	(33.0, 3.899300571045446)	(34.0, 4.239065914241445)	(35.0, 4.5006335968562725)	(36.0, 4.662260663561966)	(37.0, 4.760927633552306)	(38.0, 4.796434362468627)	(39.0, 4.759932510202568)	(40.0, 4.668718468253514)	(41.0, 4.541882929294359)	(42.0, 4.381381149752082)	(43.0, 4.1811290210453755)	(44.0, 3.9272899898190903)	(45.0, 3.6141928327073503)	(46.0, 3.268956410504141)	(47.0, 2.9109905271675043)	(48.0, 2.5563403220524274)	(49.0, 2.234127499150471)	(50.0, 1.9395835841261113)	(51.0, 1.6684257676260454)	(52.0, 1.4326613115594184)	(53.0, 1.2220758555796938)	(54.0, 1.0300296455783513)	(55.0, 0.8525239932147424)	(56.0, 0.6967165086303018)	(57.0, 0.5771029619139701)	(58.0, 0.48347599077370895)	(59.0, 0.3959359274365571)	(60.0, 0.3199580497424233)	(61.0, 0.25896160711945115)	(62.0, 0.21197247038139913)	(63.0, 0.17082251031719675)	(64.0, 0.133588661550557)	(65.0, 0.10355021241964606)	(66.0, 0.08547283803818835)	(67.0, 0.07485678936341623)	(68.0, 0.06635835197999945)	(69.0, 0.05503130096814306)	(70.0, 0.041158357729601025)	(71.0, 0.034575987667972374)	(72.0, 0.029083914497266272)	(73.0, 0.023316117979305044)	(74.0, 0.021100533924965654)	(75.0, 0.018691803566457704)	(76.0, 0.013629410941981663)	(77.0, 0.009822469294601285)	(78.0, 0.008084152557084216)	(79.0, 0.0063402373759680565)	(80.0, 0.003997288729749397)	(81.0, 0.0018194941697038574)	(82.0, 0.0004982614803189024)	(83.0, 0.00011056926108200365)	(84.0, 2.3793385296127364e-05)	(85.0, 1.8194941697038574e-05)	(86.0, 1.3996108997721979e-05)	(87.0, 6.998054498860989e-06)	(88.0, 6.998054498860989e-06)	(89.0, 9.797276298405385e-06)	(90.0, 8.397665398633189e-06)	(91.0, 4.198832699316594e-06)	(92.0, 2.799221799544396e-06)	(93.0, 1.399610899772198e-06)	(94.0, 1.399610899772198e-06)	(95.0, 1.399610899772198e-06)	(96.0, 0.0)	(97.0, 1.399610899772198e-06)	(98.0, 1.399610899772198e-06)	(99.0, 1.399610899772198e-06)	(100.0, 2.799221799544396e-06)
