Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
SRR32764071_1	(1, 0.029841224639632312)	(2, 0.09064127809372523)	(3, 0.019552107200910628)	(4, 0.0018414616830800695)	(5, 0.00030227016828096175)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.954478112656886e-06)	(15, 0.0004717005520805534)	(20, 1.909074747037653e-05)	(25, 0.00024102068681350366)	(30, 0.0033337217770145013)	(35, 0.0)	(40, 0.0019782787066177678)	(45, 0.0)	(50, 0.0)	(55, 0.0008973710142935076)	(60, 8.00493276765035e-06)	(65, 0.0)	(70, 0.0)	(75, 3.55085439649723e-05)	(80, 0.0)	(85, 6.979052519934608e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0005019251787940045)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)								
SRR32764071_2	(1, 0.0)	(2, 0.0006960168348574776)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 4.772686867594133e-06)	(30, 0.0)	(35, 0.0)	(40, 9.624918516314833e-05)	(45, 0.0)	(50, 0.0)	(55, 8.226751113494756e-05)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)								
SRR32764072_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 5.7377425425740496e-05)	(7, 0.0)	(8, 0.00815988957304638)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 1.6393550121640142e-06)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 7.502778996361004e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.1770740612477036e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 3.4106724340228017e-06)	(140, 0.0)	(145, 0.0)									
SRR32764072_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0022418179791342894)	(10, 0.00039590423543760944)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0018713237463852223)	(35, 0.0)	(40, 0.0)	(45, 0.00019358244183628927)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.00013745648363849573)	(90, 0.00022273328171397785)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.00031076114840297643)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0010242949502428037)	(140, 0.0)	(145, 0.0)									
SRR7135493_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.3965179050609764e-06)	(16, 0.00010551642972146343)	(18, 6.814602752844513e-05)	(20, 0.00028687279330522877)	(22, 0.0008804027104884607)	(24, 0.0029500635142959155)	(26, 0.013088433803366528)	(28, 0.021640760258186394)	(30, 0.020291029261332673)	(32, 0.026907788708449447)	(34, 0.028565275958657432)	(36, 0.02718147194803949)	(38, 0.02862792633880455)	(40, 0.02123078496353946)	(42, 0.021045032082050632)	(44, 0.014944863488778524)	(46, 0.01900504777410234)	(48, 0.015613134210347795)	(50, 0.015926386111083386)	(52, 0.010425243082375841)	(54, 0.0122860692856929)	(56, 0.018118050286756286)	(58, 0.019582090749141592)	(60, 0.030618449820320907)	(62, 0.02137587005440647)	(64, 0.024054448588064867)	(66, 0.02035148138252726)	(68, 0.018111455509898695)	(70, 0.015585655973441163)	(72, 0.01695407217139139)	(74, 0.02913682328631536)	(76, 0.029234645809702968)	(78, 0.02746284909396339)	(80, 0.02532284400367496)	(82, 0.03821453363079001)
SRR7135493_2	(1, 0.000575943845562988)	(2, 0.0005143925948921343)	(3, 0.0006396933551863722)	(4, 0.000859519250439421)	(5, 0.000468229156888994)	(6, 0.0006089177298509452)	(7, 0.0005319786665123782)	(8, 0.0010090008592114942)	(9, 0.0006814602752844514)	(10, 0.0003879927051216312)	(12, 0.0007287228427638569)	(14, 0.0007605975975755491)	(16, 0.0010452721319282473)	(18, 0.0013629205505689029)	(20, 0.0007913732229109759)	(22, 0.000792472352387241)	(24, 0.0012628997682287656)	(26, 0.0009606391622558234)	(28, 0.0010100999886877595)	(30, 0.0010694529804060825)	(32, 0.0011134181594566923)	(34, 0.0011848615754139332)	(36, 0.0037414367372068913)	(38, 0.0017860853989310219)	(40, 0.0021455007376697567)	(42, 0.003299586687748263)	(44, 0.0030489851671597875)	(46, 0.003724949795062912)	(48, 0.0027873923518086595)	(50, 0.0023840118340193147)	(52, 0.0021400050902884308)	(54, 0.0019245757129404426)	(56, 0.004511926500068828)	(58, 0.0034336804838526226)	(60, 0.000805661906102424)	(62, 0.0009804234928285978)	(64, 0.0038128801531641322)	(66, 0.02944567866914589)	(68, 0.055023520711314396)	(70, 0.05674585660062203)	(72, 0.05077648441502548)	(74, 0.054477253361610564)	(76, 0.05317478493223625)	(78, 0.05263071584148495)	(80, 0.05303959200665563)	(82, 0.05029176831599252)
SRR7135521_1	(1, 0.39602638384386357)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.000353262577246447)	(40, 0.0004243629691803594)	(45, 6.606178148190292e-05)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.00016571429931053615)	(70, 0.00012932433493491164)	(75, 0.0)	(80, 0.0)	(85, 4.254826603919171e-05)	(90, 0.005766409739522034)	(95, 0.0028451353685680562)	(100, 0.0019001159860133772)	(105, 0.0)	(110, 0.0037750389197667065)	(115, 9.517375298240251e-06)	(120, 7.837838480903735e-06)	(125, 0.0013201159384265007)	(130, 0.00043220080766126316)	(135, 0.020142125204711044)	(140, 0.0)	(145, 0.0)	(150, 0.0)								
SRR7135521_2	(1, 0.036902223104912125)	(2, 0.02758639222475226)	(3, 0.0005626448338077324)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.005456815119526337)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 5.1505795731653125e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)								
