Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR32764071_1	23.622632560881698	37.0	147.43824013933065	150	0.0	25.143069999999998
SRR32764071_2	23.24781318177733	37.0	146.61159840464987	150	0.0	25.143069999999998
SRR32764072_1	28.17380711580732	38.0	144.00602737558935	146	0.0	24.399839999999998
SRR32764072_2	27.516282696770617	38.0	142.06170450298035	146	0.0	24.399839999999998
SRR7135493_1	29.798701309041917	40.0	83.0	83	0.0	45.490545999999995
SRR7135493_2	30.143794809721868	40.0	83.0	83	9.090909090909092	45.490545999999995
SRR7135521_1	20.099520112024052	39.0	150.0	150	0.0	35.724135
SRR7135521_2	19.389217859422146	39.0	150.0	150	0.0	35.724135
